"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"egi-poisson-clustered-unclustered-6","finished","-","niklasdewally","","2023-05-23T11:58:43.000Z","22","","poisson","egi","clustered","unclustered","15","0.00517195975407958","78.28031158447266","0.6153212520593081","0.6191656340355225"
"egi-poisson-clustered-unclustered-5","finished","-","niklasdewally","","2023-05-23T11:58:10.000Z","31","","poisson","egi","clustered","unclustered","29","0.009162746369838716","126.64678192138672","0.6118421052631579","0.6003303055326177"
"egi-poisson-clustered-unclustered-4","finished","-","niklasdewally","","2023-05-23T11:57:45.000Z","23","","poisson","egi","clustered","unclustered","16","-0.00040748994797468185","102.08535766601562","0.6249485384932071","0.6174524400330852"
"egi-poisson-clustered-unclustered-3","finished","-","niklasdewally","","2023-05-23T11:57:20.000Z","23","","poisson","egi","clustered","unclustered","21","-0.0007448811084032059","44.96819305419922","0.6174413821472645","0.3907284768211921"
"egi-poisson-clustered-unclustered-2","finished","-","niklasdewally","","2023-05-23T11:56:47.000Z","30","","poisson","egi","clustered","unclustered","31","0.007510457653552294","44.18323516845703","0.6046128500823723","0.378043747420553"
"egi-poisson-clustered-unclustered-1","finished","-","niklasdewally","","2023-05-23T11:56:30.000Z","15","","poisson","egi","clustered","unclustered","2","-0.0059206197038292885","197.3130645751953","0.39621087314662273","0.6149710504549214"
"egi-poisson-clustered-unclustered-0","finished","-","niklasdewally","","2023-05-23T11:56:16.000Z","12","","poisson","egi","clustered","unclustered","0","0.004060117527842522","1673.0826416015625","0.37191103789126856","0.606023102310231"
"egi-poisson-clustered-clustered-9","finished","-","niklasdewally","","2023-05-23T11:56:01.000Z","13","","poisson","egi","clustered","clustered","4","-0.009890354238450527","290.48602294921875","0.6093943139678616","0.3837257331681124"
"egi-poisson-clustered-clustered-8","finished","-","niklasdewally","","2023-05-23T11:55:35.000Z","23","","poisson","egi","clustered","clustered","21","0.0005992688238620758","3.11966323852539","0.6250515039142975","0.3904052936311001"
"egi-poisson-clustered-clustered-7","finished","-","niklasdewally","","2023-05-23T11:55:07.000Z","25","","poisson","egi","clustered","clustered","22","-0.00023382436484098432","27.54016494750977","0.4009046052631579","0.6114781172584641"
"egi-poisson-clustered-clustered-6","finished","-","niklasdewally","","2023-05-23T11:54:23.000Z","42","","poisson","egi","clustered","clustered","51","-0.0007833574200049043","14.708582878112791","0.4115953947368421","0.598018984729674"
"egi-poisson-clustered-clustered-5","finished","-","niklasdewally","","2023-05-23T11:54:06.000Z","15","","poisson","egi","clustered","clustered","6","0.01144874095916748","1299.068603515625","0.3724763081994232","0.6128364389233955"
"egi-poisson-clustered-clustered-4","finished","-","niklasdewally","","2023-05-23T11:53:42.000Z","22","","poisson","egi","clustered","clustered","18","-0.00446285679936409","1062.889892578125","0.3820502264306299","0.6154164939908827"
"egi-poisson-clustered-clustered-3","finished","-","niklasdewally","","2023-05-23T11:53:21.000Z","19","","poisson","egi","clustered","clustered","13","0.004989441484212875","202.8783416748047","0.6069221260815822","0.6097560975609756"
"egi-poisson-clustered-clustered-2","finished","-","niklasdewally","","2023-05-23T11:52:45.000Z","34","","poisson","egi","clustered","clustered","36","0.0007460322231054306","18.712650299072266","0.37787828947368424","0.387603305785124"
"egi-poisson-clustered-clustered-1","finished","-","niklasdewally","","2023-05-23T11:52:16.000Z","26","","poisson","egi","clustered","clustered","23","-0.008258374407887459","338.3218994140625","0.6239737274220033","0.39472599917593737"
"egi-poisson-clustered-clustered-0","finished","-","niklasdewally","","2023-05-23T11:51:48.000Z","26","","poisson","egi","clustered","clustered","22","0.022877074778079987","311.99822998046875","0.6025482942868886","0.38238941711451013"
