"Name","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","encoder-batchsize","encoder-epochs","encoder-hidden-layers","encoder-lr","encoder-min-delta","encoder-patience","source-dataset","target-dataset","encoder-epoch","source-classifier-accuracy","target-classifier-accuracy","% Difference","training-loss","validation-loss","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-edges","target-nodes","target-transitivity","-early-stopping-epoch","-stopping-epoch","-training-loss","-validation-loss"
"egi-k1-9","0waialyy","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:57:36.000Z","2023-05-29T21:58:08.000Z","2023-05-29T21:58:08.000Z","32","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.47","0.6183206106870229","31.557576741919775","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","34","","-0.7380114197731018","-0.12073923647403716"
"egi-k1-8","vzjo4ojd","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:57:21.000Z","2023-05-29T21:57:34.000Z","2023-05-29T21:57:34.000Z","13","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.57","0.7175572519083969","25.887237176911754","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","2","","-0.5822374820709229","-0.06260881572961807"
"egi-k1-7","qyp96gj1","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:57:00.000Z","2023-05-29T21:57:19.000Z","2023-05-29T21:57:19.000Z","19","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.6","0.6183206106870229","3.053435114503826","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","8","","-0.5047377943992615","-0.08467888832092285"
"egi-k1-6","5hhb7jki","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:56:40.000Z","2023-05-29T21:56:58.000Z","2023-05-29T21:56:58.000Z","18","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.57","0.7251908396946565","27.22646310432571","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","16","","-0.40269753336906433","-0.05922228470444679"
"egi-k1-5","apxczgah","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:55:41.000Z","2023-05-29T21:56:38.000Z","2023-05-29T21:56:38.000Z","57","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.56","0.6641221374045801","18.593238822246445","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","70","","-1.1455881595611572","-0.15213939547538757"
"egi-k1-4","a30yexha","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:55:06.000Z","2023-05-29T21:55:38.000Z","2023-05-29T21:55:38.000Z","32","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","","","","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","","","-0.5948237180709839","-0.06687044352293015"
"egi-k1-3","1undul66","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:54:38.000Z","2023-05-29T21:54:59.000Z","2023-05-29T21:54:59.000Z","21","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.52","0.7633587786259542","46.79976512037582","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","17","","-0.5610471367835999","-0.020947866141796112"
"egi-k1-2","epcedcvp","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:53:57.000Z","2023-05-29T21:54:35.000Z","2023-05-29T21:54:35.000Z","38","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.51","0.7786259541984732","52.67175572519083","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","57","","-0.8047727346420288","-0.13463254272937775"
"egi-k1-1","dbapb3o5","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:53:21.000Z","2023-05-29T21:53:54.000Z","2023-05-29T21:53:54.000Z","33","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.49","0.7404580152671756","51.11388066677053","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","44","","-0.828674852848053","-0.13172386586666107"
"egi-k1-0","o42zdri5","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:52:38.000Z","2023-05-29T21:53:18.000Z","2023-05-29T21:53:18.000Z","40","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.64","0.7022900763358778","9.732824427480908","","","1","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","48","","-0.8332909345626831","-0.03741265833377838"
