"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"egi-k4-4","finished","-","niklasdewally","","2023-06-06T13:10:01.000Z","165","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","67.60703617656819","13","-2.5236806869506836","0.09975787997245789","0.46","0.7709923664122137"
"egi-k4-3","finished","-","niklasdewally","","2023-06-06T13:05:19.000Z","280","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","22.425464496615284","31","-3.7320921421051025","0.2147350311279297","0.53","0.648854961832061"
"egi-k4-2","finished","-","niklasdewally","","2023-06-06T13:00:24.000Z","293","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","43.69106421194432","33","-3.0054330825805664","211.725830078125","0.51","0.732824427480916"
"egi-k4-1","finished","-","niklasdewally","","2023-06-06T12:58:10.000Z","132","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","9.816526047944306","8","-2.4821882247924805","-0.0930805802345276","0.57","0.6259541984732825"
"egi-k4-0","finished","-","niklasdewally","","2023-06-06T12:54:23.000Z","216","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","58.903255958872094","21","-2.7075202465057373","-0.4046679139137268","0.49","0.7786259541984732"
"egi-k3-19","finished","-","niklasdewally","","2023-06-06T12:51:10.000Z","191","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","81.07580330197052","41","-2.5439953804016113","1.4576330184936523","0.43","0.7786259541984732"
"egi-k3-18","finished","-","niklasdewally","","2023-06-06T12:49:21.000Z","106","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","29.0770298403886","17","-1.3788528442382812","-0.24422436952590945","0.55","0.7099236641221374"
"egi-k3-17","finished","-","niklasdewally","","2023-06-06T12:46:51.000Z","148","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","51.081424936386775","29","-2.898391008377075","-0.2735691964626312","0.48","0.7251908396946565"
"egi-k3-16","finished","-","niklasdewally","","2023-06-06T12:45:44.000Z","65","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","38.93129770992368","5","-3.1018171310424805","0.7140207886695862","0.5","0.6946564885496184"
"egi-k3-15","finished","-","niklasdewally","","2023-06-06T12:44:05.000Z","97","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","46.79976512037582","14","-1.983281493186951","-0.005119770765304565","0.52","0.7633587786259542"
